Filter,,
,,
Sum - total_time,activity,
date,Walking,Total Result
2017-11-30,5220,5220
2017-12-01,600,600
2017-12-02,10719.649,10719.649
2017-12-03,12649.124,12649.124
2017-12-04,2100,2100
2017-12-05,3993.729,3993.729
2017-12-06,6060,6060
2017-12-07,1380,1380
2017-12-08,6488.636,6488.636
2017-12-09,3375.921,3375.921
2017-12-10,10827.746,10827.746
2017-12-11,6300,6300
2017-12-13,10488.612,10488.612
2017-12-14,3180,3180
2017-12-15,10440,10440
2017-12-16,9300,9300
2017-12-17,10758.624,10758.624
2017-12-18,3450.564,3450.564
2017-12-19,1904.688,1904.688
2017-12-20,1092.047,1092.047
2017-12-21,4010.116,4010.116
2017-12-22,6637.182,6637.182
2017-12-23,12810.008,12810.008
2017-12-24,720,720
2017-12-25,420,420
2017-12-26,2160,2160
2017-12-27,540,540
2017-12-28,66319.352,66319.352
2017-12-29,8009.286,8009.286
2017-12-30,4391.729305895,4391.729305895
2017-12-31,4744.087,4744.087
2018-01-01,540,540
2018-01-02,18700.788,18700.788
2018-01-03,4080,4080
2018-01-04,1620,1620
2018-01-05,5775.013,5775.013
2018-01-06,4954.531,4954.531
2018-01-08,2100,2100
2018-01-09,3900,3900
2018-01-10,2271.45,2271.45
2018-01-11,7538.351,7538.351
2018-01-12,1741.124,1741.124
2018-01-13,12135.206,12135.206
2018-01-14,2940,2940
2018-01-15,1827.173,1827.173
2018-01-16,2341.884,2341.884
2018-01-18,2520,2520
2018-01-19,3060,3060
2018-01-20,4062.958,4062.958
2018-01-21,7979.965,7979.965
2018-01-23,954.248,954.248
2018-01-24,2414.248,2414.248
2018-01-25,2916.22523162,2916.22523162
2018-01-26,7020,7020
2018-01-27,1740,1740
2018-01-28,1380,1380
2018-01-29,3349.813,3349.813
2018-01-30,2329.841,2329.841
2018-01-31,18604.804,18604.804
2018-02-01,2100,2100
2018-02-02,6541.32,6541.32
2018-02-04,7546.925,7546.925
2018-02-05,10680,10680
2018-02-06,4338.354,4338.354
2018-02-07,2460,2460
2018-02-08,4584.541,4584.541
2018-02-10,6798.099,6798.099
2018-02-12,5280,5280
2018-02-14,11380.73,11380.73
2018-02-15,2219.375,2219.375
2018-02-16,6060,6060
2018-02-17,960,960
2018-02-18,40620,40620
2018-02-19,4080,4080
2018-02-21,1295.653,1295.653
2018-02-22,15146.922,15146.922
2018-02-23,3120,3120
2018-02-24,4716.612,4716.612
2018-02-25,1187.955,1187.955
2018-02-26,4779.616,4779.616
2018-02-27,5253.114,5253.114
2018-03-02,1221.485,1221.485
2018-03-04,6195.228,6195.228
2018-03-05,5100,5100
2018-03-07,4069.522,4069.522
2018-03-09,12720,12720
2018-03-10,43035.521,43035.521
2018-03-11,2632.981,2632.981
2018-03-12,3312.613,3312.613
2018-03-13,4238.389,4238.389
2018-03-25,15979.119,15979.119
2018-03-26,1010.555,1010.555
2018-03-27,9446.037,9446.037
2018-03-30,938.966,938.966
2018-03-31,7730.944,7730.944
2018-04-01,53737.248,53737.248
2018-04-02,20663.469,20663.469
2018-04-05,2213.295,2213.295
2018-04-07,8491.549,8491.549
2018-04-08,7875.748,7875.748
2018-04-12,1068.537,1068.537
2018-04-13,4202.156,4202.156
2018-04-16,2893.131,2893.131
2018-04-17,2879.304,2879.304
2018-04-18,1945.856,1945.856
2018-04-19,2139.103,2139.103
2018-04-20,5053.096,5053.096
2018-04-21,11306.134,11306.134
2018-04-22,2871.831,2871.831
2018-04-24,1228.224,1228.224
2018-04-29,3249.653495575,3249.653495575
2018-04-30,1494.502,1494.502
2018-05-02,967.792,967.792
2018-05-04,1200.685,1200.685
2018-05-05,6437.74,6437.74
2018-05-06,1003.093,1003.093
2018-05-07,2312.994,2312.994
2018-05-08,2097.734,2097.734
2018-05-09,1978.969,1978.969
2018-05-10,1140.585,1140.585
2018-05-11,1797.396,1797.396
2018-05-12,2925.991,2925.991
2018-05-13,1237.119,1237.119
2018-05-14,1006.162,1006.162
2018-05-15,3021.171,3021.171
2018-05-17,942.914,942.914
2018-05-19,2635.127,2635.127
2018-05-20,1637.296,1637.296
2018-05-24,3215.999,3215.999
2018-05-26,10277.684,10277.684
2018-05-27,1111.153,1111.153
2018-05-28,4724.287,4724.287
2018-05-29,3168.19,3168.19
2018-05-30,1541.134,1541.134
2018-05-31,919.501,919.501
2018-06-01,1177.916,1177.916
2018-06-02,3093.28,3093.28
2018-06-07,974.006,974.006
2018-06-09,2375.378,2375.378
2018-06-10,2849.347,2849.347
2018-06-11,1045.447,1045.447
2018-06-12,1001.311,1001.311
2018-06-13,1527.904661989,1527.904661989
2018-06-14,2076.254,2076.254
2018-06-15,1016.156,1016.156
2018-06-16,2556.233,2556.233
2018-06-17,1007.425,1007.425
2018-06-18,1669.095,1669.095
2018-06-19,945.919,945.919
2018-06-20,3176.338,3176.338
2018-06-21,910.05,910.05
2018-06-22,907.888,907.888
2018-06-23,3055.165,3055.165
2018-06-24,8671.958,8671.958
2018-06-27,929.548913386,929.548913386
2018-06-28,932.655,932.655
2018-06-29,5644.383,5644.383
2018-06-30,5397.43,5397.43
2018-07-01,1191.946,1191.946
2018-07-06,4714.542608174,4714.542608174
2018-07-08,1663.175,1663.175
2018-07-09,17867.344,17867.344
2018-07-10,936.341,936.341
2018-07-12,4378.048600445,4378.048600445
2018-07-13,929.707237288,929.707237288
2018-07-14,9669.339,9669.339
2018-07-15,4357.797,4357.797
2018-07-16,1674.13,1674.13
2018-07-18,19453.3,19453.3
2018-07-20,1523.006,1523.006
2018-07-21,1312.353,1312.353
2018-07-23,1965.927,1965.927
2018-07-24,3800.376293979,3800.376293979
2018-07-25,987.060438329,987.060438329
2018-07-27,2234.679,2234.679
2018-07-28,6106.403,6106.403
2018-07-29,6293.621,6293.621
2018-07-30,2541.895,2541.895
2018-07-31,3093.635,3093.635
2018-08-02,2028.054,2028.054
2018-08-03,3314.691,3314.691
2018-08-04,4288.403,4288.403
2018-08-09,232.396,232.396
2018-08-10,2575.201,2575.201
2018-08-11,1156.459,1156.459
2018-08-15,1246.237666381,1246.237666381
2018-08-18,6063.933,6063.933
2018-08-19,1279.093,1279.093
2018-08-20,987.661,987.661
2018-08-21,782.951,782.951
2018-08-23,928.928,928.928
2018-08-24,5140.98,5140.98
2018-08-25,5785.586,5785.586
2018-08-26,1404.812,1404.812
2018-08-27,1348.535,1348.535
2018-08-28,3941.765,3941.765
2018-08-30,980.959,980.959
2018-08-31,1141.486,1141.486
2018-09-02,687.924,687.924
2018-09-03,2242.073,2242.073
2018-09-05,1292.654,1292.654
2018-09-06,2322.294,2322.294
2018-09-07,6629.604,6629.604
2018-09-08,1317.833,1317.833
2018-09-10,2168.645,2168.645
2018-09-11,1132.647,1132.647
2018-09-12,1188.082,1188.082
2018-09-13,1409.542,1409.542
2018-09-15,2743.583588815,2743.583588815
2018-09-17,2865.892,2865.892
2018-09-18,6004.733,6004.733
2018-09-19,7360.626,7360.626
2018-09-20,3653.917,3653.917
2018-09-21,3580.578,3580.578
2018-09-22,3493.62,3493.62
2018-09-25,963.205,963.205
2018-09-26,5279.207,5279.207
2018-09-27,2471.965,2471.965
2018-09-28,1000.038,1000.038
2018-09-30,1987.478,1987.478
2018-10-01,4516.982,4516.982
2018-10-02,1147.827,1147.827
2018-10-04,2210.328,2210.328
2018-10-05,987.092,987.092
2018-10-06,10209.303157591,10209.303157591
2018-10-07,3626.147,3626.147
2018-10-12,1800.566,1800.566
2018-10-13,4277.731,4277.731
2018-10-14,4864.248,4864.248
2018-10-15,934.675,934.675
2018-10-16,1766.603,1766.603
2018-10-17,2792.785,2792.785
2018-10-18,2554.741,2554.741
2018-10-19,2596.94,2596.94
2018-10-20,3360.204738811,3360.204738811
2018-10-21,3423.659,3423.659
2018-10-22,967.806,967.806
2018-10-23,1160.097,1160.097
2018-10-24,1281.204,1281.204
2018-10-26,1353.009,1353.009
2018-10-28,13413.109075549,13413.109075549
2018-10-29,2529.766711264,2529.766711264
2018-10-30,3651.495,3651.495
2018-10-31,1574.362,1574.362
2018-11-03,4565.207451707,4565.207451707
2018-11-04,945.928,945.928
2018-11-05,1402.33617162,1402.33617162
2018-11-10,4952.91243514,4952.91243514
2018-11-11,4427.116,4427.116
2018-11-12,1457.563,1457.563
2018-11-13,3820.037,3820.037
2018-11-14,4028.278,4028.278
2018-11-15,3061.907,3061.907
2018-11-16,2949.359,2949.359
2018-11-17,7795.18,7795.18
2018-11-18,5193.16,5193.16
2018-11-19,1968.552,1968.552
2018-11-21,1420.09,1420.09
2018-11-22,2884.003,2884.003
2018-11-23,1023.141,1023.141
2018-11-24,6850.204,6850.204
2018-11-25,3436.787,3436.787
2018-11-27,1629.354,1629.354
2018-11-29,2260.328,2260.328
2018-11-30,792.671,792.671
2018-12-01,5147.083,5147.083
2018-12-03,1102.755,1102.755
2018-12-05,1069.27,1069.27
2018-12-09,1175.552,1175.552
2018-12-13,1265.91,1265.91
2018-12-14,1052.283,1052.283
2018-12-19,1029.101,1029.101
2018-12-21,3645.574,3645.574
2018-12-22,8165.482818208,8165.482818208
2018-12-23,3683.979,3683.979
2018-12-24,3366.322,3366.322
2018-12-25,1857.184099448,1857.184099448
2018-12-28,1081.553,1081.553
2018-12-29,4524.367,4524.367
2018-12-30,9129.16,9129.16
2018-12-31,4166.285,4166.285
2019-01-01,993.266,993.266
2019-01-02,2984.66,2984.66
2019-01-03,6342.805,6342.805
2019-01-04,3966.211,3966.211
2019-01-05,5287.632,5287.632
2019-01-06,10370.683,10370.683
2019-01-07,4208.577,4208.577
2019-01-09,2151.337,2151.337
2019-01-11,2592.196,2592.196
2019-01-12,5937.713726897,5937.713726897
2019-01-13,4054.358,4054.358
2019-01-14,1239.502,1239.502
2019-01-15,1163.645,1163.645
