date,activity,calories,distance,intensity,total_time
2019-09-30T21:57:21.510Z,Biking,137.74386596679688,6033.985107421875,Active,1538.02
2018-03-05T17:46:00.000Z,Walking,42.907196044921875,674.8119382858276,Active,480.0
2018-05-03T22:08:20.178Z,Biking,173.00389099121094,6237.892824172974,Active,1838.614
2015-06-11T20:54:00.209Z,Walking,0.0,303.0,Active,950.239
2018-01-14T19:00:00.000Z,Sleep.light,38.5309944152832,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.light,3.5028176307678223,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.deep,12.84366512298584,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.deep,1.167605996131897,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.light,30.357751846313477,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.deep,14.011270523071289,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.light,7.0056352615356445,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.light,4.670423984527588,384.0,Active,35220.0
2018-01-14T19:00:00.000Z,Sleep.deep,19.849300384521484,384.0,Active,35940.0
2018-01-15T04:59:00.000Z,Sleep.light,240.52682495117188,12.0,Active,20880.0
2018-01-15T05:01:00.000Z,Sleep.deep,35.028175354003906,12.0,Active,20760.0
2018-01-15T05:01:00.000Z,Sleep.light,52.542266845703125,12.0,Active,20760.0
2018-01-15T05:01:00.000Z,Sleep.deep,14.011270523071289,12.0,Active,20760.0
2018-01-15T05:01:00.000Z,Sleep.light,28.022541046142578,12.0,Active,20760.0
2018-01-20T03:20:00.000Z,Walking,32.18039321899414,439.8049051761627,Active,360.0
2016-03-08T23:36:25.528Z,Walking,0.0,11.792624473571777,Active,19.930752
2016-03-08T23:37:18.183Z,Walking,0.0,0.0,Active,248.216
2016-03-08T23:44:25.880Z,Walking,,,Active,25.743
2016-03-08T23:44:51.623Z,Walking,,,Active,35.276
2016-03-08T23:45:46.404Z,Walking,0.0,319.0,Active,554.485
2015-06-27T18:45:27.328Z,Walking,,,Active,552.003
2015-06-27T18:58:49.460Z,Walking,0.0,0.0,Active,810.893
